CID,SMILES,pred_lum,pred_PLQY
169241402,COc1cc(C(O)=NC[C@](O)(c2cc3c(c(-c4[c-]cc(F)c(Cl)c4F)n2)OC[C@]3(C)N)C2(F)CC2)cc2cc(Br)cnc12,579,74.7
170280794,C=CC(=O)N1CCN(c2nc(=O)n(/C(C(=O)C(C)C)=C(\C)N)c3nc(-c4[c-]cc(F)cc4F)c(Cl)cc23)C(C)C1,615,74.6
70869471,C[Si](C)OC(c1c(F)c[c-]c(-c2cccc3nc(-c4ccc(F)c(F)c4)cn23)c1F)C(C)(C)C,551,74.6
67419635,COC(=O)Oc1nc(-c2[c-]cc(F)c(OC)c2F)cc(N=C(C)O)c1Cl,580,74.6
170403841,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1ccc(S(C)(=O)=O)cc1)nc2-c1[c-]c(Cl)c(F)cc1F,548,74.5
170403849,CC(C)(C)OC(O)=NS(=O)(=O)c1cccc([C@](O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)c1,556,74.5
68809554,CC(O)=Nc1cc(-c2[c-]cc(F)c(F)c2F)nc(C(=O)O)c1Cl,578,74.5
57703327,CC(C)(c1cccc(-c2cncnc2)n1)c1cccc(-c2[c-]cc(F)cc2F)n1,546,74.3
121375200,CCOc1c(F)c[c-]c(-c2cc(N=C(C)O)c(Cl)c(OC(=O)O)n2)c1F,562,74.3
59645823,CC1(C)C=C(C(C)(C)c2cccc(-c3[c-]cc(F)cc3F)n2)N=C1c1ccccc1,584,74.3
146733317,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2CC(=O)c2ccc(F)c(-c3[c-]cc(F)cc3F)n2)C1,564,74.2
169241559,Cc1cnc2c(Cl)cc(C(O)=NCC(C=O)(c3cc4c(c(-c5[c-]cc(F)c(Br)c5F)n3)OC[C@]4(C)C#CCN=O)C3CC3)cc2c1,574,74.2
