L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,CC(=O)/C=C(/C)[O-],,3,0,707,0.28,0.45,CH2Cl2,10.1002/adom.202100117,,1
COc1cc2ncnc(-c3[c-]cccc3)c2cc1OC,COc1cc2ncnc(-c3[c-]cccc3)c2cc1OC,CC(=O)/C=C(/C)[O-],,1,0,627,0.35,0.79,CH2Cl2,10.1039/d1nj01795k,lifetime measured in toluene,1
COc1cc2ncnc(-c3[c-]cc(C(C)(C)C)cc3)c2cc1OC,COc1cc2ncnc(-c3[c-]cc(C(C)(C)C)cc3)c2cc1OC,CC(=O)/C=C(/C)[O-],,2,0,625,0.38,0.64,CH2Cl2,10.1039/d1nj01795k,lifetime measured in toluene,1
FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,521,0.43,1.31,CH3CN,10.1039/d1dt01320c,,1
FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,508,0.48,1.24,CH3CN,10.1039/d1dt01320c,,1
FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,FC(F)(F)c1nnc(-c2[c-]cccc2)n1-c1ccccc1,c1ccc(-n2ccnc2-c2ccccn2)cc1,F[P-](F)(F)(F)(F)F,3,1,498,0.37,1.48,CH3CN,10.1039/d1dt01320c,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(/C=N/O)ccn2)c1,,Ir-OXIME,1,673,,,CHCl3,10.1016/j.dyepig.2020.108279,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C#N)ccn2)c1,,Ir–CN,1,688,0.0179,,CHCl3,10.1016/j.dyepig.2020.108279,,1
CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,562,0.17,1.21,CH2Cl2,10.1016/j.dyepig.2022.110939,,1
CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,CC(C)CCn1c(-c2[c-]cccc2)nc2cc3ccccc3cc21,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,562,0.17,1.75,CH2Cl2,10.1016/j.dyepig.2022.110939,,1
