L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,CCCCOc1ccc(C(=O)/C=C(\[O-])c2ccc(OCCCC)c(OCCCC)c2)cc1OCCCC,,4b,0,640,0.61,1.07,toluene,10.1016/j.dyepig.2012.05.026,,1
[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,O=C(/C=C(\[O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1)c1ccc(-c2cccc3c2oc2ccccc23)cc1,,4c,0,637,0.2,0.41,toluene,10.1016/j.dyepig.2012.05.026,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,1,0,440,0.79,3.23,2-MeTHF,10.1021/cm3010453,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,CC(C)(C)c1ccnc(-c2cc(C(F)(F)F)n[n-]2)c1,,2,0,440,0.87,2.24,2-MeTHF,10.1021/cm3010453,,1
CC(C)(C)c1ccnc(-c2[c-]cc(F)nc2F)c1,CC(C)(C)c1ccnc(-c2[c-]cc(F)nc2F)c1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,3,0,441,0.81,2.49,2-MeTHF,10.1021/cm3010453,,1
CC(C)(C)c1ccnc(-c2[c-]cc(F)nc2F)c1,CC(C)(C)c1ccnc(-c2[c-]cc(F)nc2F)c1,CC(C)(C)c1ccnc(-c2cc(C(F)(F)F)n[n-]2)c1,,4,0,440,0.77,1.65,2-MeTHF,10.1021/cm3010453,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C([O-])c1ccccn1,,HIrPic,0,505,0.147,0.514,CH2Cl2,10.1021/ic2011474,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C([O-])c1ccccn1,,FIrPic,0,468,0.62,1.722,CH2Cl2,10.1021/ic2011474,,1
Clc1c[c-]c(-c2ccccn2)c(Cl)c1,Clc1c[c-]c(-c2ccccn2)c(Cl)c1,O=C([O-])c1ccccn1,,ClIrPic,0,491,0.659,2.408,CH2Cl2,10.1021/ic2011474,,1
Brc1c[c-]c(-c2ccccn2)c(Br)c1,Brc1c[c-]c(-c2ccccn2)c(Br)c1,O=C([O-])c1ccccn1,,BrIrPic,0,494,0.091,0.33,CH2Cl2,10.1021/ic2011474,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,[Ir(ppy)2(acac)],0,520,0.47,1.227,CH2Cl2,10.1021/ic202162q,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(=O)/C=C(/C)[O-],,[Ir(diFppy)2(acac)],0,484,0.63,0.872,CH2Cl2,10.1021/ic202162q,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,2,0,503,0.69,1.224,CH2Cl2,10.1021/ic202162q,,1
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C1=C/C(=C/c2ccc[n-]2)N=C1,,1,0,672,0.075,12.9,2-MeTHF,10.1021/ic100633w,,1
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C/C(=C1\C=CC=N1)c1ccc[n-]1,,2,0,658,0.094,9.9,2-MeTHF,10.1021/ic100633w,,1
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,3,0,683,0.06,5.3,2-MeTHF,10.1021/ic100633w,,1
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,4,0,676,0.115,12.7,2-MeTHF,10.1021/ic100633w,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,6,0,677,0.099,6.3,2-MeTHF,10.1021/ic100633w,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1cc(C)c(/C(=C2\C=CC=N2)c2ccc[n-]2)c(C)c1,,7,0,675,0.092,9.6,2-MeTHF,10.1021/ic100633w,,1
CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(a)2(bpy)](PF6),1,560,0.45,,CH2Cl2,10.1021/om9003785,,1
CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CCCCCCCCCCn1cc(-c2ccccn2)nn1,F[P-](F)(F)(F)(F)F,[Ir(a)2(trpy)](PF6),1,495,0.29,,CH2Cl2,10.1021/om9003785,,1
CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CC(=O)/C=C(/C)[O-],,[Ir(a)2(acac)],0,435,0.02,,CH2Cl2,10.1021/om9003785,,1
CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,CCCCCCCCCCn1cc(-c2[c-]cccc2)nn1,O=C([O-])c1ccccn1,,[Ir(a)2(pic)],0,527,0.11,,CH2Cl2,10.1021/om9003785,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(ppy)2(bpy)](PF6),1,580,0.29,,CH2Cl2,10.1021/om9003785,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCCCCCCCn1cc(-c2ccccn2)nn1,F[P-](F)(F)(F)(F)F,[Ir(ppy)2(trpy)](PF6),1,477,0.21,,CH2Cl2,10.1021/om9003785,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,[Ir(ppy)2(acac)],0,517,0.53,,CH2Cl2,10.1021/om9003785,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C([O-])c1ccccn1,,[Ir(ppy)2(pic)],0,505,0.29,,CH2Cl2,10.1021/om9003785,,1
COC(=O)c1ccnc(-c2[c-]cccc2)c1,COC(=O)c1ccnc(-c2[c-]cccc2)c1,CC(=O)/C=C(/C)[O-],,N958,0,632,0.04,0.136,CH2Cl2,10.1002/cssc.200800220,,1
Fc1ccc(-n2c3c[c-]c(-c4ccccn4)cc3c3ccccc32)cc1,Fc1ccc(-n2c3c[c-]c(-c4ccccn4)cc3c3ccccc32)cc1,CC(=O)/C=C(/C)[O-],,5,0,514,0.45,0.16,CH2Cl2,10.1002/asia.200800226,,1
Cc1ccc(-n2c3c[c-]c(-c4ccccn4)cc3c3ccccc32)cc1,Cc1ccc(-n2c3c[c-]c(-c4ccccn4)cc3c3ccccc32)cc1,CC(=O)/C=C(/C)[O-],,6,0,515,0.41,0.27,CH2Cl2,10.1002/asia.200800226,,1
Fc1ccc(-c2[c-]cc3c(c2)c2ccccc2n3-c2ccccc2)nc1,Fc1ccc(-c2[c-]cc3c(c2)c2ccccc2n3-c2ccccc2)nc1,CC(=O)/C=C(/C)[O-],,7,0,531,0.35,0.22,CH2Cl2,10.1002/asia.200800226,,1
Cc1ccnc(-c2[c-]cc3c(c2)c2ccccc2n3-c2ccccc2)c1,Cc1ccnc(-c2[c-]cc3c(c2)c2ccccc2n3-c2ccccc2)c1,CC(=O)/C=C(/C)[O-],,8,0,506,0.41,0.2,CH2Cl2,10.1002/asia.200800226,,1
O=S(=O)(Cc1ccccc1)c1cc[c-]c(-c2ccccn2)c1,O=S(=O)(Cc1ccccc1)c1cc[c-]c(-c2ccccn2)c1,CCCCCC/C([O-])=C/C(C)=O,,1,0,498,0.68,1.5,CH2Cl2,10.1002/chem.200801270,,1
O=S(=O)(Cc1ccccc1)c1ccc[c-]c1-c1ccccn1,O=S(=O)(Cc1ccccc1)c1ccc[c-]c1-c1ccccn1,CCCCCC/C([O-])=C/C(C)=O,,2,0,558,0.47,2.3,CH2Cl2,10.1002/chem.200801270,,1
O=S(=O)(Cc1ccccc1)c1c[c-]c(-c2ccccn2)cc1,O=S(=O)(Cc1ccccc1)c1c[c-]c(-c2ccccn2)cc1,CCCCCC/C([O-])=C/C(C)=O,,3,0,546,0.71,2.7,CH2Cl2,10.1002/chem.200801270,,1
O=S(=O)(Cc1ccccc1)c1c[c-]c(-c2ccccn2)c(F)c1,O=S(=O)(Cc1ccccc1)c1c[c-]c(-c2ccccn2)c(F)c1,CCCCCC/C([O-])=C/C(C)=O,,4,0,533,0.62,2.7,CH2Cl2,10.1002/chem.200801270,,1
O=S(=O)(Cc1ccccc1)c1cc(F)c(-c2ccccn2)[c-]c1F,O=S(=O)(Cc1ccccc1)c1cc(F)c(-c2ccccn2)[c-]c1F,CCCCCC/C([O-])=C/C(C)=O,,5,0,515,0.65,3.0,CH2Cl2,10.1002/chem.200801270,,1
O=S(=O)(Cc1ccccc1)c1cc[c-]c(-c2ccccn2)c1,O=S(=O)(Cc1ccccc1)c1cc[c-]c(-c2ccccn2)c1,Fc1c(F)c(F)c(-c2n[n-]c(-c3ccccn3)n2)c(F)c1F,,6,0,468,0.55,2.0,CH2Cl2,10.1002/chem.200801270,,1
[c-]1ccccc1-c1ccc2c(ccc3ccccc32)n1,[c-]1ccccc1-c1ccc2c(ccc3ccccc32)n1,CC(=O)/C=C(/C)[O-],,Ir(pbq-f)2acac,0,577,0.93,0.49,2-MeTHF,10.1039/b906675f,,1
[c-]1ccccc1-c1cc(-c2ccccc2)c2c(ccc3ccccc32)n1,[c-]1ccccc1-c1cc(-c2ccccc2)c2c(ccc3ccccc32)n1,CC(=O)/C=C(/C)[O-],,Ir(dpbq-f)2acac,0,604,0.62,0.44,2-MeTHF,10.1039/b906675f,,1
[c-]1ccccc1-c1ccc2cc3ccccc3cc2n1,[c-]1ccccc1-c1ccc2cc3ccccc3cc2n1,CC(=O)/C=C(/C)[O-],,Ir(pbq-g)2acac,0,708,0.025,0.57,2-MeTHF,10.1039/b906675f,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,Ir(piq)2acac,0,624,0.5,0.97,2-MeTHF,10.1039/b906675f,,1
[c-]1ccccc1-c1nc2ccccc2o1,[c-]1ccccc1-c1nc2ccccc2o1,CC(=O)/C=C(/C)[O-],,1,0,531,0.07,1.3,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Clc1c[c-]c(-c2nc3ccccc3o2)cc1,Clc1c[c-]c(-c2nc3ccccc3o2)cc1,CC(=O)/C=C(/C)[O-],,2,0,530,0.12,1.1,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Clc1ccc2nc(-c3[c-]cccc3)oc2c1,Clc1ccc2nc(-c3[c-]cccc3)oc2c1,CC(=O)/C=C(/C)[O-],,3,0,537,0.13,1.41,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Fc1[c-]c(-c2nc3ccccc3o2)cc(F)c1,Fc1[c-]c(-c2nc3ccccc3o2)cc(F)c1,CC(=O)/C=C(/C)[O-],,4,0,530,0.15,0.84,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
[c-]1cc2ccccc2cc1-c1nc2ccccc2o1,[c-]1cc2ccccc2cc1-c1nc2ccccc2o1,CC(=O)/C=C(/C)[O-],,5,0,568,0.02,0.95,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Clc1c[c-]c(-c2nc3ccccc3o2)cc1,Clc1c[c-]c(-c2nc3ccccc3o2)cc1,O=C(/C=C(\[O-])c1ccccc1)c1ccccc1,,6,0,528,0.0045,1.03,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Fc1[c-]c(-c2nc3ccccc3o2)cc(F)c1,Fc1[c-]c(-c2nc3ccccc3o2)cc(F)c1,O=C(/C=C(\[O-])c1ccccc1)c1ccccc1,,7,0,531,0.004,0.42,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
[c-]1cc2ccccc2cc1-c1nc2ccccc2o1,[c-]1cc2ccccc2cc1-c1nc2ccccc2o1,O=C(/C=C(\[O-])c1ccccc1)c1ccccc1,,8,0,579,0.0015,0.81,CH2Cl2,10.1016/j.jorganchem.2008.06.034,,1
Fc1c[c-]c(Cn2cccn2)c(F)c1,Fc1c[c-]c(Cn2cccn2)c(F)c1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,1,0,460,0.1,0.1,CH2Cl2,10.1002/chem.200800050,,1
Fc1c[c-]c(Cn2cccn2)c(F)c1,Fc1c[c-]c(Cn2cccn2)c(F)c1,CC(C)(C)c1ccnc(-c2nc(-c3ccccc3)n[n-]2)c1,,2,0,488,0.45,2.77,CH2Cl2,10.1002/chem.200800050,,1
Fc1c[c-]c(Cn2cccn2)c(F)c1,Fc1c[c-]c(Cn2cccn2)c(F)c1,CC(C)(C)c1ccnc(-c2nc(C(C)(C)C)n[n-]2)c1,,3,0,480,0.2,1.23,CH2Cl2,10.1002/chem.200800050,,1
Fc1[c-]c(Cn2cccn2)c(C(F)(F)F)cc1,Fc1[c-]c(Cn2cccn2)c(C(F)(F)F)cc1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,4,0,457,0.04,0.07,CH2Cl2,10.1002/chem.200800050,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,[O-]c1ccccc1-c1nc2ccccc2o1,,1a,0,522,0.29,10.7,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,[O-]c1ccccc1-c1nc2ccccc2s1,,1b,0,574,0.82,7.6,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,CC(C)(C)c1cc(-c2ccccn2)[n-]n1,,2a,0,490,0.06,0.79,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,CC(C)(C)c1cc(-c2cnccn2)[n-]n1,,2b,0,558,0.72,3.0,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,CC(C)(C)c1cc(-c2nccc3ccccc23)[n-]n1,,2c,0,562,1.0,20.2,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,2d,0,440,0.0067,0.042,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,3a,0,516,0.81,28.0,CH2Cl2,10.1039/b700998d,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,c1ccc2nc(-c3nc4ccccc4[n-]3)ccc2c1,,3b,0,555,0.8,14.7,CH2Cl2,10.1039/b700998d,,1
Cc1c[c-]c(-c2nccc3ccccc23)cc1,Cc1c[c-]c(-c2nccc3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,6a1,0,628,0.44,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,6a2,0,631,0.31,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
COc1c[c-]c(-c2nccc3ccccc23)cc1,COc1c[c-]c(-c2nccc3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,6a3,0,623,0.31,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
Cc1ccc[c-]c1-c1nccc2ccccc12,Cc1ccc[c-]c1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,6b1,0,645,0.19,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,FC(F)(F)c1ccc[c-]c1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,6b2,0,644,0.21,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
COc1ccc[c-]c1-c1nccc2ccccc12,COc1ccc[c-]c1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,6b3,0,632,0.32,,CH2Cl2,10.1016/j.ica.2005.10.003,,1
[c-]1ccccc1-c1cccc2cccnc12,[c-]1ccccc1-c1cccc2cccnc12,CC(=O)/C=C(/C)[O-],,4a,0,680,0.05,1.769,CH3CN,10.1021/om049192n,,1
Fc1c[c-]c(-c2cccc3cccnc23)cc1,Fc1c[c-]c(-c2cccc3cccnc23)cc1,CC(=O)/C=C(/C)[O-],,4b,0,666,0.07,2.825,CH3CN,10.1021/om049192n,,1
Fc1[c-]c(-c2cccc3cccnc23)cc(F)c1,Fc1[c-]c(-c2cccc3cccnc23)cc(F)c1,CC(=O)/C=C(/C)[O-],,4c,0,656,0.09,3.072,CH3CN,10.1021/om049192n,,1
Fc1c[c-]c(-c2cccc3cccnc23)c(F)c1,Fc1c[c-]c(-c2cccc3cccnc23)c(F)c1,CC(=O)/C=C(/C)[O-],,4d,0,650,0.11,2.763,CH3CN,10.1021/om049192n,,1
[c-]1ccccc1-c1nc2ccccc2n1-c1ccccc1,[c-]1ccccc1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,pbi,0,523,0.73,1.82,toluene,10.1021/cm0498943,,1
[c-]1ccc2ccccc2c1-c1nc2ccccc2n1-c1ccccc1,[c-]1ccc2ccccc2c1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,nbi,0,604,0.14,0.32,toluene,10.1021/cm0498943,,1
[c-]1cccc2c1c(-c1nc3ccccc3n1-c1ccccc1)cc1ccccc12,[c-]1cccc2c1c(-c1nc3ccccc3n1-c1ccccc1)cc1ccccc12,CC(=O)/C=C(/C)[O-],,pnbi,0,651,0.0089,2.37,toluene,10.1021/cm0498943,,1
CCn1c2c[c-]c(-c3nc4ccccc4n3-c3ccccc3)cc2c2ccccc21,CCn1c2c[c-]c(-c3nc4ccccc4n3-c3ccccc3)cc2c2ccccc21,CC(=O)/C=C(/C)[O-],,cbi,0,520,0.52,0.18,toluene,10.1021/cm0498943,,1
CC1(C)c2ccccc2-c2c[c-]c(-c3nc4ccccc4n3-c3ccccc3)cc21,CC1(C)c2ccccc2-c2c[c-]c(-c3nc4ccccc4n3-c3ccccc3)cc21,CC(=O)/C=C(/C)[O-],,fbi,0,563,0.51,1.51,toluene,10.1021/cm0498943,,1
[c-]1cscc1-c1nc2ccccc2n1-c1ccccc1,[c-]1cscc1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,tbi,0,507,0.0085,1.23,toluene,10.1021/cm0498943,,1
[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)s2)ccc1-c1nc2ccccc2n1-c1ccccc1,[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)s2)ccc1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,tabi,0,620,0.023,0.91,toluene,10.1021/cm0498943,,1
[c-]1cc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)ccc1-c1nc2ccccc2n1-c1ccccc1,[c-]1cc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)ccc1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,pybi,0,566,0.22,0.45,toluene,10.1021/cm0498943,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,Ir(piq)2(acac),0,622,0.2,1.67,CH2Cl2,10.1002/adma.200304630,,1
Fc1c[c-]c(-c2nccc3ccccc23)cc1,Fc1c[c-]c(-c2nccc3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,Ir(piq-F)2(acac),0,600,0.33,1.2,CH2Cl2,10.1002/adma.200304630,,1
Fc1c[c-]c(-c2nc3ccccc3c3ccccc23)cc1,Fc1c[c-]c(-c2nc3ccccc3c3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,Ir(pbq-F)2(acac),0,631,0.16,1.96,CH2Cl2,10.1002/adma.200304630,,1
[c-]1cccc2c1c1nccnc1c1ccccc21,[c-]1cccc2c1c1nccnc1c1ccccc21,CC(=O)/C=C(/C)[O-],,Ir(DBQ)2(acac),0,618,0.53,,CH2Cl2,10.1002/adma.200390051,,1
Cc1cnc2c3[c-]cccc3c3ccccc3c2n1,Cc1cnc2c3[c-]cccc3c3ccccc3c2n1,CC(=O)/C=C(/C)[O-],,Ir(MDQ)2(acac),0,608,0.48,,CH2Cl2,10.1002/adma.200390051,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,ppyacac,0,516,0.34,1.6,2-MeTHF,10.1021/ic0008969,,1
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,CC(=O)/C=C(/C)[O-],,tpyacac,0,512,0.31,3.1,2-MeTHF,10.1021/ic0008969,,1
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,CC(=O)/C=C(/C)[O-],,bzqacac,0,548,0.27,4.5,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccccc1-c1nc2ccccc2s1,[c-]1ccccc1-c1nc2ccccc2s1,CC(=O)/C=C(/C)[O-],,btacac,0,557,0.26,1.8,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccccc1-c1nc2ccccc2s1,[c-]1ccccc1-c1nc2ccccc2s1,O=C([O-])c1ccccn1,,btpic,0,541,0.37,2.3,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccccc1-c1nc2ccccc2s1,[c-]1ccccc1-c1nc2ccccc2s1,C/N=C/c1ccccc1[O-],,btsal,0,562,0.22,1.4,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccc2ccccc2c1-c1nc2ccccc2s1,[c-]1ccc2ccccc2c1-c1nc2ccccc2s1,CC(=O)/C=C(/C)[O-],,bsnacac,0,606,0.22,1.8,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CC(=O)/C=C(/C)[O-],,pqacac,0,597,0.1,2.0,2-MeTHF,10.1021/ic0008969,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,569,0.067,0.098,DMF,10.1021/acs.inorgchem.2c04471,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,Ir2,1,569,0.027,0.079,DMF,10.1021/acs.inorgchem.2c04471,,1
CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,c1ccc(N(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,Ir3,1,574,0.013,0.041,DMF,10.1021/acs.inorgchem.2c04471,,1
[c-]1ccc2ccccc2c1-c1nccs1,[c-]1ccc2ccccc2c1-c1nccs1,CC(=O)/C=C(/C)[O-],,Ir3,0,608,0.07,0.68,CH2Cl2,10.1002/ejic.201200064,,1
[c-]1cc2ccccc2cc1-c1nccs1,[c-]1cc2ccccc2cc1-c1nccs1,CC(=O)/C=C(/C)[O-],,Ir4,0,566,0.12,0.57,CH2Cl2,10.1002/ejic.201200064,,1
[c-]1ccccc1-c1nc2ccccc2n1-c1ccccc1,[c-]1ccccc1-c1nc2ccccc2n1-c1ccccc1,CC(=O)/C=C(/C)[O-],,4a,0,520,0.64,,CH2Cl2,10.1039/C6TC00153J,,1
COc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,COc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,CC(=O)/C=C(/C)[O-],,4b,0,555,0.29,,CH2Cl2,10.1039/C6TC00153J,,1
COc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,COc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,CC(=O)/C=C(/C)[O-],,4c,0,507,0.91,,CH2Cl2,10.1039/C6TC00153J,,1
N#Cc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,N#Cc1cc[c-]c(-c2nc3ccccc3n2-c2ccccc2)c1,CC(=O)/C=C(/C)[O-],,4d,0,514,0.62,,CH2Cl2,10.1039/C6TC00153J,,1
N#Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,N#Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,CC(=O)/C=C(/C)[O-],,4e,0,560,0.29,,CH2Cl2,10.1039/C6TC00153J,,1
COc1cc(-c2nc3ccccc3n2-c2ccccc2)[c-]cc1C#N,COc1cc(-c2nc3ccccc3n2-c2ccccc2)[c-]cc1C#N,CC(=O)/C=C(/C)[O-],,4f,0,605,0.05,,CH2Cl2,10.1039/C6TC00153J,,1
COc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1C#N,COc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1C#N,CC(=O)/C=C(/C)[O-],,4g,0,496,1.0,,CH2Cl2,10.1039/C6TC00153J,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[O-]c1cccc2cccnc12,,pphen-8OQ,0,660,0.28,1.4,toluene,10.1021/acs.inorgchem.3c00670,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,O=C([O-])c1cccc2cccnc12,,pphen-8COOQ,0,667,0.19,1.1,toluene,10.1021/acs.inorgchem.3c00670,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[O-]c1cccc2ccc3cccnc3c12,,pphen-10OBQ,0,701,0.29,0.97,toluene,10.1021/acs.inorgchem.3c00670,,1
[c-]1ccccc1-c1nc2ccccc2c2ccccc12,[c-]1ccccc1-c1nc2ccccc2c2ccccc12,O=C([N-]c1ccccc1)c1cccc2cccnc12,,pphen-8CONPhQ,0,697,0.018,0.7,toluene,10.1021/acs.inorgchem.3c00670,,1
